기간,월,수량
24_H2,2024-07,468
24_H2,2024-08,327
24_H2,2024-09,1147
24_H2,2024-10,1358
24_H2,2024-11,1358
24_H2,2024-12,1481
25_H1,2025-01,1662
25_H1,2025-02,1161
25_H1,2025-03,1009
25_H1,2025-04,770
25_H1,2025-05,700
25_H1,2025-06,537
25_H2,2025-07,1025
25_H2,2025-08,855
25_H2,2025-09,855
25_H2,2025-10,536
25_H2,2025-11,712
25_H2,2025-12,684
26_H1,2026-01,777
26_H1,2026-02,513
26_H1,2026-03,443
26_H1,2026-04,362
26_H1,2026-05,330
26_H1,2026-06,285
